Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5
chronic_cholestasis,itching,vomiting,yellowish_skin,nausea, loss_of_appetite
chronic_cholestasis,itching,vomiting,yellowish_skin,nausea, loss_of_appetite
drug_reaction,itching,skin_rash,stomach_pain,burning_micturition, spotting_ urination
drug_reaction,itching,stomach_pain,burning_micturition,spotting__urination,
drug_reaction,itching,skin_rash,burning_micturition,spotting__urination,
drug_reaction,itching,skin_rash,stomach_pain,spotting__urination,
drug_reaction,itching,skin_rash,stomach_pain,burning_micturition,
drug_reaction,skin_rash,stomach_pain,burning_micturition,spotting__urination,
drug_reaction,itching,stomach_pain,burning_micturition,spotting__urination,
drug_reaction,itching,skin_rash,burning_micturition,spotting__urination,
drug_reaction,itching,skin_rash,stomach_pain,spotting__urination,
drug_reaction,itching,skin_rash,stomach_pain,burning_micturition,
peptic_ulcer_diseae,vomiting,loss_of_appetite,abdominal_pain,passage_of_gases, internal_itching
peptic_ulcer_diseae,vomiting,indigestion,abdominal_pain,passage_of_gases, internal_itching
peptic_ulcer_diseae,indigestion,loss_of_appetite,abdominal_pain,passage_of_gases, internal_itching
peptic_ulcer_diseae,vomiting,loss_of_appetite,abdominal_pain,passage_of_gases, internal_itching
peptic_ulcer_diseae,vomiting,indigestion,abdominal_pain,passage_of_gases, internal_itching
peptic_ulcer_diseae,vomiting,indigestion,loss_of_appetite,passage_of_gases, internal_itching
peptic_ulcer_diseae,vomiting,indigestion,loss_of_appetite,abdominal_pain, internal_itching
peptic_ulcer_diseae,vomiting,indigestion,loss_of_appetite,abdominal_pain, passage_of_gases
peptic_ulcer_diseae,vomiting,indigestion,loss_of_appetite,abdominal_pain, passage_of_gases
peptic_ulcer_diseae,vomiting,indigestion,loss_of_appetite,abdominal_pain, passage_of_gases
aids,muscle_wasting,patches_in_throat,high_fever,extra_marital_contacts,
aids,patches_in_throat,high_fever,extra_marital_contacts,,
aids,muscle_wasting,high_fever,extra_marital_contacts,,
aids,muscle_wasting,patches_in_throat,extra_marital_contacts,,
aids,muscle_wasting,patches_in_throat,high_fever,,
aids,muscle_wasting,patches_in_throat,high_fever,extra_marital_contacts,
aids,muscle_wasting,patches_in_throat,high_fever,extra_marital_contacts,
aids,patches_in_throat,high_fever,extra_marital_contacts,,
aids,muscle_wasting,high_fever,extra_marital_contacts,,
aids,muscle_wasting,patches_in_throat,high_fever,,
diabetes,fatigue,weight_loss,restlessness,lethargy, irregular_sugar_level
diabetes,fatigue,weight_loss,restlessness,lethargy, irregular_sugar_level
diabetes,weight_loss,restlessness,lethargy,irregular_sugar_level, blurred_and_distorted_vision
diabetes,fatigue,restlessness,lethargy,irregular_sugar_level, blurred_and_distorted_vision
diabetes,fatigue,weight_loss,lethargy,irregular_sugar_level, blurred_and_distorted_vision
diabetes,fatigue,weight_loss,restlessness,irregular_sugar_level, blurred_and_distorted_vision
diabetes,fatigue,weight_loss,restlessness,lethargy, blurred_and_distorted_vision
diabetes,fatigue,weight_loss,restlessness,lethargy, irregular_sugar_level
diabetes,fatigue,weight_loss,restlessness,lethargy, irregular_sugar_level
diabetes,fatigue,weight_loss,restlessness,lethargy, irregular_sugar_level
gastroenteritis,vomiting,sunken_eyes,dehydration,diarrhoea,
gastroenteritis,vomiting,sunken_eyes,dehydration,diarrhoea,
gastroenteritis,sunken_eyes,dehydration,diarrhoea,,
gastroenteritis,vomiting,dehydration,diarrhoea,,
gastroenteritis,vomiting,sunken_eyes,diarrhoea,,
gastroenteritis,vomiting,sunken_eyes,dehydration,,
gastroenteritis,vomiting,sunken_eyes,dehydration,diarrhoea,
gastroenteritis,sunken_eyes,dehydration,diarrhoea,,
gastroenteritis,vomiting,dehydration,diarrhoea,,
gastroenteritis,vomiting,sunken_eyes,diarrhoea,,
bronchial_asthma,fatigue,cough,high_fever,breathlessness, family_history
bronchial_asthma,cough,high_fever,breathlessness,family_history, mucoid_sputum
bronchial_asthma,fatigue,high_fever,breathlessness,family_history, mucoid_sputum
bronchial_asthma,fatigue,cough,breathlessness,family_history, mucoid_sputum
bronchial_asthma,fatigue,cough,high_fever,family_history, mucoid_sputum
bronchial_asthma,fatigue,cough,high_fever,breathlessness, mucoid_sputum
bronchial_asthma,fatigue,cough,high_fever,breathlessness, family_history
bronchial_asthma,fatigue,cough,high_fever,breathlessness, family_history
bronchial_asthma,cough,high_fever,breathlessness,family_history, mucoid_sputum
bronchial_asthma,fatigue,high_fever,breathlessness,family_history, mucoid_sputum
hypertension,headache,chest_pain,dizziness,loss_of_balance, lack_of_concentration
hypertension,chest_pain,dizziness,loss_of_balance,lack_of_concentration,
hypertension,headache,dizziness,loss_of_balance,lack_of_concentration,
hypertension,headache,chest_pain,loss_of_balance,lack_of_concentration,
hypertension,headache,chest_pain,dizziness,lack_of_concentration,
hypertension,headache,chest_pain,dizziness,loss_of_balance,
hypertension,headache,chest_pain,dizziness,loss_of_balance, lack_of_concentration
hypertension,chest_pain,dizziness,loss_of_balance,lack_of_concentration,
hypertension,headache,dizziness,loss_of_balance,lack_of_concentration,
hypertension,headache,chest_pain,loss_of_balance,lack_of_concentration,
migraine,acidity,indigestion,headache,blurred_and_distorted_vision, excessive_hunger
migraine,indigestion,headache,blurred_and_distorted_vision,excessive_hunger, stiff_neck
migraine,acidity,headache,blurred_and_distorted_vision,excessive_hunger, stiff_neck
migraine,acidity,indigestion,blurred_and_distorted_vision,excessive_hunger, stiff_neck
migraine,acidity,indigestion,headache,excessive_hunger, stiff_neck
migraine,acidity,indigestion,headache,blurred_and_distorted_vision, stiff_neck
migraine,acidity,indigestion,headache,blurred_and_distorted_vision, excessive_hunger
migraine,acidity,indigestion,headache,blurred_and_distorted_vision, excessive_hunger
migraine,acidity,indigestion,headache,blurred_and_distorted_vision, excessive_hunger
migraine,acidity,indigestion,headache,blurred_and_distorted_vision, excessive_hunger
cervical_spondylosis,back_pain,weakness_in_limbs,neck_pain,dizziness, loss_of_balance
cervical_spondylosis,back_pain,weakness_in_limbs,neck_pain,dizziness, loss_of_balance
cervical_spondylosis,weakness_in_limbs,neck_pain,dizziness,loss_of_balance,
cervical_spondylosis,back_pain,neck_pain,dizziness,loss_of_balance,
cervical_spondylosis,back_pain,weakness_in_limbs,dizziness,loss_of_balance,
cervical_spondylosis,back_pain,weakness_in_limbs,neck_pain,loss_of_balance,
cervical_spondylosis,back_pain,weakness_in_limbs,neck_pain,dizziness,
cervical_spondylosis,back_pain,weakness_in_limbs,neck_pain,dizziness, loss_of_balance
cervical_spondylosis,weakness_in_limbs,neck_pain,dizziness,loss_of_balance,
cervical_spondylosis,back_pain,neck_pain,dizziness,loss_of_balance,
paralysis_(brain_hemorrhage),vomiting,headache,weakness_of_one_body_side,altered_sensorium,
paralysis_(brain_hemorrhage),vomiting,headache,weakness_of_one_body_side,altered_sensorium,
paralysis_(brain_hemorrhage),headache,weakness_of_one_body_side,altered_sensorium,,
paralysis_(brain_hemorrhage),vomiting,weakness_of_one_body_side,altered_sensorium,,
paralysis_(brain_hemorrhage),vomiting,headache,altered_sensorium,,
paralysis_(brain_hemorrhage),vomiting,headache,weakness_of_one_body_side,,
paralysis_(brain_hemorrhage),vomiting,headache,weakness_of_one_body_side,altered_sensorium,
paralysis_(brain_hemorrhage),headache,weakness_of_one_body_side,altered_sensorium,,
paralysis_(brain_hemorrhage),vomiting,weakness_of_one_body_side,altered_sensorium,,
paralysis_(brain_hemorrhage),vomiting,headache,altered_sensorium,,
jaundice,itching,vomiting,fatigue,weight_loss, high_fever
jaundice,itching,vomiting,fatigue,weight_loss, high_fever
jaundice,vomiting,fatigue,weight_loss,high_fever, yellowish_skin
jaundice,itching,fatigue,weight_loss,high_fever, yellowish_skin
jaundice,itching,vomiting,weight_loss,high_fever, yellowish_skin
jaundice,itching,vomiting,fatigue,high_fever, yellowish_skin
jaundice,itching,vomiting,fatigue,weight_loss, yellowish_skin
jaundice,itching,vomiting,fatigue,weight_loss, high_fever
jaundice,itching,vomiting,fatigue,weight_loss, high_fever
jaundice,itching,vomiting,fatigue,weight_loss, high_fever
malaria,chills,vomiting,high_fever,sweating, headache
malaria,chills,vomiting,high_fever,sweating, headache
malaria,chills,vomiting,high_fever,sweating, headache
malaria,vomiting,high_fever,sweating,headache, nausea
malaria,chills,high_fever,sweating,headache, nausea
malaria,chills,vomiting,sweating,headache, nausea
malaria,chills,vomiting,high_fever,headache, nausea
malaria,chills,vomiting,high_fever,sweating, nausea
malaria,chills,vomiting,high_fever,sweating, headache
malaria,chills,vomiting,high_fever,sweating, headache
chicken_pox,itching,skin_rash,fatigue,lethargy, high_fever
chicken_pox,skin_rash,fatigue,lethargy,high_fever, headache
chicken_pox,itching,fatigue,lethargy,high_fever, headache
chicken_pox,itching,skin_rash,lethargy,high_fever, headache
chicken_pox,itching,skin_rash,fatigue,high_fever, headache
chicken_pox,itching,skin_rash,fatigue,lethargy, headache
chicken_pox,itching,skin_rash,fatigue,lethargy, high_fever
chicken_pox,itching,skin_rash,fatigue,lethargy, high_fever
chicken_pox,itching,skin_rash,fatigue,lethargy, high_fever
chicken_pox,itching,skin_rash,fatigue,lethargy, high_fever
dengue,skin_rash,chills,joint_pain,vomiting, fatigue
dengue,skin_rash,chills,joint_pain,vomiting, fatigue
dengue,skin_rash,chills,joint_pain,vomiting, fatigue
dengue,skin_rash,chills,joint_pain,vomiting, fatigue
dengue,chills,joint_pain,vomiting,fatigue, high_fever
dengue,skin_rash,joint_pain,vomiting,fatigue, high_fever
dengue,skin_rash,chills,vomiting,fatigue, high_fever
dengue,skin_rash,chills,joint_pain,fatigue, high_fever
dengue,skin_rash,chills,joint_pain,vomiting, high_fever
dengue,skin_rash,chills,joint_pain,vomiting, fatigue
typhoid,chills,vomiting,fatigue,high_fever, nausea
typhoid,chills,vomiting,fatigue,high_fever, headache
typhoid,chills,vomiting,fatigue,high_fever, headache
typhoid,chills,vomiting,fatigue,high_fever, headache
typhoid,chills,vomiting,fatigue,high_fever, headache
typhoid,chills,vomiting,fatigue,high_fever, headache
typhoid,chills,vomiting,fatigue,high_fever, headache
typhoid,chills,vomiting,fatigue,high_fever, headache
typhoid,chills,vomiting,fatigue,high_fever, headache
typhoid,chills,fatigue,high_fever,headache, nausea
hepatitis_a,joint_pain,vomiting,yellowish_skin,dark_urine, nausea
hepatitis_a,joint_pain,vomiting,yellowish_skin,dark_urine, nausea
hepatitis_a,vomiting,yellowish_skin,dark_urine,nausea, loss_of_appetite
hepatitis_a,joint_pain,yellowish_skin,dark_urine,nausea, loss_of_appetite
hepatitis_a,joint_pain,vomiting,dark_urine,nausea, loss_of_appetite
hepatitis_a,joint_pain,vomiting,yellowish_skin,nausea, loss_of_appetite
hepatitis_a,joint_pain,vomiting,yellowish_skin,dark_urine, loss_of_appetite
hepatitis_a,joint_pain,vomiting,yellowish_skin,dark_urine, nausea
hepatitis_a,joint_pain,vomiting,yellowish_skin,dark_urine, nausea
hepatitis_a,joint_pain,vomiting,yellowish_skin,dark_urine, nausea
hepatitis_b,itching,fatigue,lethargy,yellowish_skin, dark_urine
hepatitis_b,itching,fatigue,lethargy,yellowish_skin, dark_urine
hepatitis_b,fatigue,lethargy,yellowish_skin,dark_urine, loss_of_appetite
hepatitis_b,itching,lethargy,yellowish_skin,dark_urine, loss_of_appetite
hepatitis_b,itching,fatigue,yellowish_skin,dark_urine, loss_of_appetite
hepatitis_b,itching,fatigue,lethargy,dark_urine, loss_of_appetite
hepatitis_b,itching,fatigue,lethargy,yellowish_skin, loss_of_appetite
hepatitis_b,itching,fatigue,lethargy,yellowish_skin, dark_urine
hepatitis_b,itching,fatigue,lethargy,yellowish_skin, dark_urine
hepatitis_b,itching,fatigue,lethargy,yellowish_skin, dark_urine
hepatitis_c,fatigue,yellowish_skin,nausea,loss_of_appetite, family_history
hepatitis_c,fatigue,yellowish_skin,nausea,loss_of_appetite, yellowing_of_eyes
hepatitis_c,yellowish_skin,nausea,loss_of_appetite,yellowing_of_eyes, family_history
hepatitis_c,fatigue,nausea,loss_of_appetite,yellowing_of_eyes, family_history
hepatitis_c,fatigue,yellowish_skin,loss_of_appetite,yellowing_of_eyes, family_history
hepatitis_c,fatigue,yellowish_skin,nausea,yellowing_of_eyes, family_history
hepatitis_c,fatigue,yellowish_skin,nausea,loss_of_appetite, family_history
hepatitis_c,fatigue,yellowish_skin,nausea,loss_of_appetite, yellowing_of_eyes
hepatitis_c,fatigue,yellowish_skin,nausea,loss_of_appetite, yellowing_of_eyes
hepatitis_c,fatigue,yellowish_skin,nausea,loss_of_appetite, yellowing_of_eyes
hepatitis_d,joint_pain,vomiting,fatigue,yellowish_skin, dark_urine
hepatitis_d,vomiting,fatigue,yellowish_skin,dark_urine, nausea
hepatitis_d,joint_pain,fatigue,yellowish_skin,dark_urine, nausea
hepatitis_d,joint_pain,vomiting,yellowish_skin,dark_urine, nausea
hepatitis_d,joint_pain,vomiting,fatigue,dark_urine, nausea
hepatitis_d,joint_pain,vomiting,fatigue,yellowish_skin, nausea
hepatitis_d,joint_pain,vomiting,fatigue,yellowish_skin, dark_urine
hepatitis_d,joint_pain,vomiting,fatigue,yellowish_skin, dark_urine
hepatitis_d,joint_pain,vomiting,fatigue,yellowish_skin, dark_urine
hepatitis_d,joint_pain,vomiting,fatigue,yellowish_skin, dark_urine
hepatitis_e,joint_pain,vomiting,fatigue,high_fever, yellowish_skin
hepatitis_e,joint_pain,vomiting,fatigue,high_fever, yellowish_skin
hepatitis_e,joint_pain,vomiting,fatigue,high_fever, yellowish_skin
hepatitis_e,vomiting,fatigue,high_fever,yellowish_skin, dark_urine
hepatitis_e,joint_pain,fatigue,high_fever,yellowish_skin, dark_urine
hepatitis_e,joint_pain,vomiting,high_fever,yellowish_skin, dark_urine
hepatitis_e,joint_pain,vomiting,fatigue,yellowish_skin, dark_urine
hepatitis_e,joint_pain,vomiting,fatigue,high_fever, dark_urine
hepatitis_e,joint_pain,vomiting,fatigue,high_fever, yellowish_skin
hepatitis_e,joint_pain,vomiting,fatigue,high_fever, yellowish_skin
alcoholic_hepatitis,vomiting,yellowish_skin,abdominal_pain,swelling_of_stomach, distention_of_abdomen
alcoholic_hepatitis,vomiting,yellowish_skin,abdominal_pain,swelling_of_stomach, distention_of_abdomen
alcoholic_hepatitis,yellowish_skin,abdominal_pain,swelling_of_stomach,distention_of_abdomen, history_of_alcohol_consumption
alcoholic_hepatitis,vomiting,abdominal_pain,swelling_of_stomach,distention_of_abdomen, history_of_alcohol_consumption
alcoholic_hepatitis,vomiting,yellowish_skin,swelling_of_stomach,distention_of_abdomen, history_of_alcohol_consumption
alcoholic_hepatitis,vomiting,yellowish_skin,abdominal_pain,distention_of_abdomen, history_of_alcohol_consumption
alcoholic_hepatitis,vomiting,yellowish_skin,abdominal_pain,swelling_of_stomach, history_of_alcohol_consumption
alcoholic_hepatitis,vomiting,yellowish_skin,abdominal_pain,swelling_of_stomach, distention_of_abdomen
alcoholic_hepatitis,vomiting,yellowish_skin,abdominal_pain,swelling_of_stomach, distention_of_abdomen
alcoholic_hepatitis,vomiting,yellowish_skin,abdominal_pain,swelling_of_stomach, distention_of_abdomen
tuberculosis,chills,vomiting,fatigue,weight_loss, cough
tuberculosis,chills,vomiting,fatigue,weight_loss, cough
tuberculosis,vomiting,fatigue,weight_loss,cough, high_fever
tuberculosis,chills,fatigue,weight_loss,cough, high_fever
tuberculosis,chills,vomiting,weight_loss,cough, high_fever
tuberculosis,chills,vomiting,fatigue,cough, high_fever
tuberculosis,chills,vomiting,fatigue,weight_loss, high_fever
tuberculosis,chills,vomiting,fatigue,weight_loss, cough
tuberculosis,chills,vomiting,fatigue,weight_loss, cough
tuberculosis,chills,vomiting,fatigue,weight_loss, cough
common_cold,continuous_sneezing,chills,fatigue,cough, high_fever
common_cold,continuous_sneezing,chills,fatigue,cough, high_fever
common_cold,chills,fatigue,cough,high_fever, headache
common_cold,continuous_sneezing,fatigue,cough,high_fever, headache
common_cold,continuous_sneezing,chills,cough,high_fever, headache
common_cold,continuous_sneezing,chills,fatigue,high_fever, headache
common_cold,continuous_sneezing,chills,fatigue,cough, headache
common_cold,continuous_sneezing,chills,fatigue,cough, high_fever
common_cold,continuous_sneezing,chills,fatigue,cough, high_fever
common_cold,continuous_sneezing,chills,fatigue,cough, high_fever
pneumonia,chills,fatigue,cough,high_fever, breathlessness
pneumonia,chills,fatigue,cough,high_fever, breathlessness
pneumonia,chills,fatigue,cough,high_fever, breathlessness
pneumonia,fatigue,cough,high_fever,breathlessness, sweating
pneumonia,chills,cough,high_fever,breathlessness, sweating
pneumonia,chills,fatigue,high_fever,breathlessness, sweating
pneumonia,chills,fatigue,cough,breathlessness, sweating
pneumonia,chills,fatigue,cough,high_fever, sweating
pneumonia,chills,fatigue,cough,high_fever, breathlessness
pneumonia,chills,fatigue,cough,high_fever, breathlessness
dimorphic_hemmorhoids(piles),constipation,pain_during_bowel_movements,pain_in_anal_region,bloody_stool, irritation_in_anus
dimorphic_hemmorhoids(piles),constipation,pain_during_bowel_movements,pain_in_anal_region,bloody_stool, irritation_in_anus
dimorphic_hemmorhoids(piles),constipation,pain_during_bowel_movements,pain_in_anal_region,bloody_stool, irritation_in_anus
dimorphic_hemmorhoids(piles),pain_during_bowel_movements,pain_in_anal_region,bloody_stool,irritation_in_anus,
dimorphic_hemmorhoids(piles),constipation,pain_in_anal_region,bloody_stool,irritation_in_anus,
dimorphic_hemmorhoids(piles),constipation,pain_during_bowel_movements,bloody_stool,irritation_in_anus,
dimorphic_hemmorhoids(piles),constipation,pain_during_bowel_movements,pain_in_anal_region,irritation_in_anus,
dimorphic_hemmorhoids(piles),constipation,pain_during_bowel_movements,pain_in_anal_region,bloody_stool,
dimorphic_hemmorhoids(piles),constipation,pain_during_bowel_movements,pain_in_anal_region,bloody_stool, irritation_in_anus
dimorphic_hemmorhoids(piles),constipation,pain_during_bowel_movements,pain_in_anal_region,bloody_stool, irritation_in_anus
heart_attack,vomiting,breathlessness,sweating,chest_pain,
heart_attack,vomiting,breathlessness,sweating,chest_pain,
heart_attack,breathlessness,sweating,chest_pain,,
heart_attack,vomiting,sweating,chest_pain,,
heart_attack,vomiting,breathlessness,chest_pain,,
heart_attack,vomiting,breathlessness,sweating,,
heart_attack,vomiting,breathlessness,sweating,chest_pain,
heart_attack,breathlessness,sweating,chest_pain,,
heart_attack,vomiting,sweating,chest_pain,,
heart_attack,vomiting,breathlessness,chest_pain,,
varicose_veins,fatigue,cramps,bruising,obesity, swollen_legs
varicose_veins,fatigue,cramps,bruising,obesity, swollen_legs
varicose_veins,cramps,bruising,obesity,swollen_legs, swollen_blood_vessels
varicose_veins,fatigue,bruising,obesity,swollen_legs, swollen_blood_vessels
varicose_veins,fatigue,cramps,obesity,swollen_legs, swollen_blood_vessels
varicose_veins,fatigue,cramps,bruising,swollen_legs, swollen_blood_vessels
varicose_veins,fatigue,cramps,bruising,obesity, swollen_blood_vessels
varicose_veins,fatigue,cramps,bruising,obesity, swollen_legs
varicose_veins,fatigue,cramps,bruising,obesity, swollen_legs
varicose_veins,fatigue,cramps,bruising,obesity, swollen_legs
hypothyroidism,fatigue,weight_gain,cold_hands_and_feets,mood_swings, lethargy
hypothyroidism,fatigue,weight_gain,cold_hands_and_feets,mood_swings, lethargy
hypothyroidism,weight_gain,cold_hands_and_feets,mood_swings,lethargy, dizziness
hypothyroidism,weight_gain,cold_hands_and_feets,mood_swings,lethargy, dizziness
hypothyroidism,fatigue,cold_hands_and_feets,mood_swings,lethargy, dizziness
hypothyroidism,fatigue,weight_gain,mood_swings,lethargy, dizziness
hypothyroidism,fatigue,weight_gain,cold_hands_and_feets,lethargy, dizziness
hypothyroidism,fatigue,weight_gain,cold_hands_and_feets,mood_swings, dizziness
hypothyroidism,fatigue,weight_gain,cold_hands_and_feets,mood_swings, lethargy
hypothyroidism,fatigue,weight_gain,cold_hands_and_feets,mood_swings, lethargy
hyperthyroidism,fatigue,mood_swings,weight_loss,restlessness, sweating
hyperthyroidism,fatigue,mood_swings,weight_loss,restlessness, sweating
hyperthyroidism,mood_swings,weight_loss,restlessness,sweating, diarrhoea
hyperthyroidism,fatigue,weight_loss,restlessness,sweating, diarrhoea
hyperthyroidism,fatigue,mood_swings,restlessness,sweating, diarrhoea
hyperthyroidism,fatigue,mood_swings,weight_loss,sweating, diarrhoea
hyperthyroidism,fatigue,mood_swings,weight_loss,restlessness, diarrhoea
hyperthyroidism,fatigue,mood_swings,weight_loss,restlessness, sweating
hyperthyroidism,fatigue,mood_swings,weight_loss,restlessness, sweating
hyperthyroidism,fatigue,mood_swings,weight_loss,restlessness, sweating
hypoglycemia,vomiting,fatigue,anxiety,sweating, headache
hypoglycemia,vomiting,fatigue,anxiety,sweating, headache
hypoglycemia,vomiting,fatigue,anxiety,sweating, headache
hypoglycemia,fatigue,anxiety,sweating,headache, nausea
hypoglycemia,vomiting,anxiety,sweating,headache, nausea
hypoglycemia,vomiting,fatigue,sweating,headache, nausea
hypoglycemia,vomiting,fatigue,anxiety,headache, nausea
hypoglycemia,vomiting,fatigue,anxiety,sweating, nausea
hypoglycemia,vomiting,fatigue,anxiety,sweating, headache
hypoglycemia,vomiting,fatigue,anxiety,sweating, headache
osteoarthristis,joint_pain,neck_pain,knee_pain,hip_joint_pain, swelling_joints
osteoarthristis,joint_pain,neck_pain,knee_pain,hip_joint_pain, swelling_joints
osteoarthristis,neck_pain,knee_pain,hip_joint_pain,swelling_joints, painful_walking
osteoarthristis,joint_pain,knee_pain,hip_joint_pain,swelling_joints, painful_walking
osteoarthristis,joint_pain,neck_pain,hip_joint_pain,swelling_joints, painful_walking
osteoarthristis,joint_pain,neck_pain,knee_pain,swelling_joints, painful_walking
osteoarthristis,joint_pain,neck_pain,knee_pain,hip_joint_pain, painful_walking
osteoarthristis,joint_pain,neck_pain,knee_pain,hip_joint_pain, swelling_joints
osteoarthristis,joint_pain,neck_pain,knee_pain,hip_joint_pain, swelling_joints
osteoarthristis,joint_pain,neck_pain,knee_pain,hip_joint_pain, swelling_joints
arthritis,muscle_weakness,stiff_neck,swelling_joints,movement_stiffness, painful_walking
arthritis,muscle_weakness,stiff_neck,swelling_joints,movement_stiffness, painful_walking
arthritis,stiff_neck,swelling_joints,movement_stiffness,painful_walking,
arthritis,muscle_weakness,swelling_joints,movement_stiffness,painful_walking,
arthritis,muscle_weakness,stiff_neck,movement_stiffness,painful_walking,
arthritis,muscle_weakness,stiff_neck,swelling_joints,painful_walking,
arthritis,muscle_weakness,stiff_neck,swelling_joints,movement_stiffness, painful_walking
arthritis,muscle_weakness,stiff_neck,swelling_joints,movement_stiffness,
arthritis,muscle_weakness,stiff_neck,swelling_joints,movement_stiffness, painful_walking
arthritis,muscle_weakness,stiff_neck,swelling_joints,movement_stiffness, painful_walking
(vertigo)_paroymsal__positional_vertigo,vomiting,headache,nausea,spinning_movements, loss_of_balance
(vertigo)_paroymsal__positional_vertigo,vomiting,headache,nausea,spinning_movements, loss_of_balance
(vertigo)_paroymsal__positional_vertigo,headache,nausea,spinning_movements,loss_of_balance, unsteadiness
(vertigo)_paroymsal__positional_vertigo,vomiting,nausea,spinning_movements,loss_of_balance, unsteadiness
(vertigo)_paroymsal__positional_vertigo,vomiting,headache,spinning_movements,loss_of_balance, unsteadiness
(vertigo)_paroymsal__positional_vertigo,vomiting,headache,nausea,loss_of_balance, unsteadiness
(vertigo)_paroymsal__positional_vertigo,vomiting,headache,nausea,spinning_movements, unsteadiness
(vertigo)_paroymsal__positional_vertigo,vomiting,headache,nausea,spinning_movements, loss_of_balance
(vertigo)_paroymsal__positional_vertigo,vomiting,headache,nausea,spinning_movements, loss_of_balance
(vertigo)_paroymsal__positional_vertigo,vomiting,headache,nausea,loss_of_balance, unsteadiness
acne,skin_rash,pus_filled_pimples,blackheads,scurring,
acne,skin_rash,pus_filled_pimples,blackheads,scurring,
acne,pus_filled_pimples,blackheads,scurring,,
acne,skin_rash,blackheads,scurring,,
acne,skin_rash,pus_filled_pimples,scurring,,
acne,skin_rash,pus_filled_pimples,blackheads,,
acne,skin_rash,pus_filled_pimples,blackheads,scurring,
acne,skin_rash,pus_filled_pimples,blackheads,,
acne,skin_rash,pus_filled_pimples,scurring,,
acne,skin_rash,blackheads,scurring,,
urinary_tract_infection,burning_micturition,bladder_discomfort,foul_smell_of_urine,continuous_feel_of_urine,
urinary_tract_infection,burning_micturition,bladder_discomfort,foul_smell_of_urine,continuous_feel_of_urine,
urinary_tract_infection,bladder_discomfort,foul_smell_of_urine,continuous_feel_of_urine,,
urinary_tract_infection,burning_micturition,foul_smell_of_urine,continuous_feel_of_urine,,
urinary_tract_infection,burning_micturition,bladder_discomfort,continuous_feel_of_urine,,
urinary_tract_infection,burning_micturition,bladder_discomfort,foul_smell_of_urine,,
urinary_tract_infection,burning_micturition,bladder_discomfort,foul_smell_of_urine,continuous_feel_of_urine,
urinary_tract_infection,burning_micturition,bladder_discomfort,continuous_feel_of_urine,,
urinary_tract_infection,bladder_discomfort,foul_smell_of_urine,continuous_feel_of_urine,,
urinary_tract_infection,burning_micturition,bladder_discomfort,continuous_feel_of_urine,,
psoriasis,skin_rash,joint_pain,skin_peeling,silver_like_dusting, small_dents_in_nails
